Freedom Bowls Investment Payback Model,,,,,,
Generated,2026-05-19,,,,,
Currency,USD,,,,,
,,,,,,
Core Assumptions,Value,Notes,,,,
Startup cost - low,47000,From Startup Costs.md realistic low end,,,,
Startup cost - midpoint,61000,Midpoint of current startup range,,,,
Startup cost - high,75000,From Startup Costs.md realistic high end,,,,
Capital reserve rate,20%,Percent of operating net held back for maintenance working capital and tax cushion,,,,
Investor payback target months,24,Planning target for outside capital,,,,
,,,,,,
Annual Scenario,Total Events,Estimated Gross,Estimated Operating Net,Cash Available After Reserve,Payback Years - Low Cost,Payback Years - Mid Cost,Payback Years - High Cost
Low Stress Retirement Style,63,116000,36250,=D13*(1-$B$8),=$B$5/E13,=$B$6/E13,=$B$7/E13
Balanced First Year,93,150500,43625,=D14*(1-$B$8),=$B$5/E14,=$B$6/E14,=$B$7/E14
Aggressive Growth Year,128,241000,71975,=D15*(1-$B$8),=$B$5/E15,=$B$6/E15,=$B$7/E15
,,,,,,
Event Type,Average Gross,Average Net,Hours On Site,Staff Required,Events Needed for 40000 Annual Net,Estimated Gross for Goal,
Community Pop-Up,1000,250,6,2,=ROUNDUP(40000/C18,0),=F18*B18,
Brewery Night,1400,375,5,2,=ROUNDUP(40000/C19,0),=F19*B19,
Corporate Lunch,1800,550,4,2,=ROUNDUP(40000/C20,0),=F20*B20,
Festival Day,3000,900,10,3,=ROUNDUP(40000/C21,0),=F21*B21,
Private Catering,2500,800,5,2,=ROUNDUP(40000/C22,0),=F22*B22,
,,,,,,
Simple Investor Structure,Formula,Illustrative Result,Notes,,,
Base investment,=B6,61000,Uses midpoint startup capital need,,,
Monthly payback required for 24 months,=C26/$B$9,=B27,Before investor return premium,,,
Balanced annual cash available,=E14,34900,After reserve using Balanced First Year,,,
Balanced monthly cash available,=C28/12,2908.333333,Compares available cash to target monthly payback,,,
Coverage ratio,=C29/C27,1.144262295,Above 1.0 means the plan covers target payback from operating cash,,,
